Isolate.ID,Rep,Day,Media,Temp,Count
H7-0718,A,0,SMB,6,80
H7-0718,B,0,SMB,6,260
H7-0718,C,0,SMB,6,380
H7-0918,A,0,SMB,6,60
H7-0918,B,0,SMB,6,73.5
H7-0918,C,0,SMB,6,220
H8-0069,A,0,SMB,6,60
H8-0069,B,0,SMB,6,60
H8-0069,C,0,SMB,6,40
H8-0147,A,0,SMB,6,180
H8-0147,B,0,SMB,6,0
H8-0147,C,0,SMB,6,7550
H8-0175,A,0,SMB,6,1700
H8-0175,B,0,SMB,6,16300
H8-0175,C,0,SMB,6,2360
H8-0237,A,0,SMB,6,0
H8-0237,B,0,SMB,6,18300
H8-0237,C,0,SMB,6,4680
J3-0153,A,0,SMB,6,1020
J3-0153,B,0,SMB,6,1200
J3-0153,C,0,SMB,6,1100
J3-0155,A,0,SMB,6,340000
J3-0155,B,0,SMB,6,134000
J3-0155,C,0,SMB,6,120
J3-0159,A,0,SMB,6,2840
J3-0159,B,0,SMB,6,2340
J3-0159,C,0,SMB,6,400
R5-0636,A,0,SMB,6,400
R5-0636,B,0,SMB,6,540
R5-0636,C,0,SMB,6,360
R5-0883,A,0,SMB,6,280
R5-0883,B,0,SMB,6,80
R5-0883,C,0,SMB,6,320
R5-0923,A,0,SMB,6,60
R5-0923,B,0,SMB,6,160
R5-0923,C,0,SMB,6,300
R5-0937,A,0,SMB,6,60
R5-0937,B,0,SMB,6,20
R5-0937,C,0,SMB,6,0
F4-0085,A,0,BHI,10,654
F4-0085,B,0,BHI,10,1900
F4-0085,C,0,BHI,10,2880
F4-0126,A,0,BHI,10,961
F4-0126,B,0,BHI,10,1190
F4-0126,C,0,BHI,10,184
F4-0134,A,0,BHI,10,3920
F4-0134,B,0,BHI,10,4030
F4-0134,C,0,BHI,10,961
F4-0152,A,0,BHI,10,450
F4-0152,B,0,BHI,10,225
F4-0152,C,0,BHI,10,123
F4-0242,A,0,BHI,10,0
F4-0242,B,0,BHI,10,20.4
F4-0242,C,0,BHI,10,164
H3-0280,A,0,BHI,10,0
H3-0280,B,0,BHI,10,60
H3-0280,C,0,BHI,10,600
H3-0287,A,0,BHI,10,40
H3-0287,B,0,BHI,10,0
H3-0287,C,0,BHI,10,20
H3-0464,A,0,BHI,10,40
H3-0464,B,0,BHI,10,2040
H3-0464,C,0,BHI,10,200
H3-0465,A,0,BHI,10,40
H3-0465,B,0,BHI,10,40
H3-0465,C,0,BHI,10,80
H7-0433,A,0,BHI,10,140
H7-0433,B,0,BHI,10,120
H7-0433,C,0,BHI,10,200
H7-0443,A,0,BHI,10,0
H7-0443,B,0,BHI,10,460
H7-0443,C,0,BHI,10,20
H7-0604,A,0,BHI,10,143
H7-0604,B,0,BHI,10,204
H7-0604,C,0,BHI,10,61.3
H7-0694,A,0,BHI,10,164
H7-0694,B,0,BHI,10,20.4
H7-0694,C,0,BHI,10,20.4
H7-0710,A,0,BHI,10,102
H7-0710,B,0,BHI,10,22400
H7-0710,C,0,BHI,10,0
H7-0713,A,0,BHI,10,0
H7-0713,B,0,BHI,10,0
